audio_path,duration,voiced_ratio,voiced_frames,f0_range,rms,keep,reason
data/self/1-2-1/speaker01_hong2_01.wav,1.653500,0.269231,14,4.000000,0.040328,0,low_voiced_ratio
data/self/1-2-1/speaker01_bai2_01.wav,1.653500,0.269231,14,4.000000,0.045929,0,low_voiced_ratio
data/self/1-2-1/speaker01_lai2_01.wav,1.653500,0.307692,16,4.000000,0.042578,0,low_voiced_ratio
data/self/1-2-1/speaker01_hui2_01.wav,1.653500,0.269231,14,4.000000,0.047675,0,low_voiced_ratio
data/self/1-2-1/speaker01_xue2_01.wav,1.653500,0.230769,12,4.000000,0.063199,0,low_voiced_ratio
data/self/1-2-1/speaker01_ming2_01.wav,1.653500,0.307692,16,4.000000,0.042051,0,low_voiced_ratio
data/self/1-2-1/speaker01_lin2_01.wav,1.653500,0.326923,17,4.000000,0.047931,0,low_voiced_ratio
data/self/1-2-1/speaker01_long2_01.wav,1.653500,0.288462,15,4.000000,0.041899,0,low_voiced_ratio
data/self/1-2-1/speaker01_shi2_01.wav,1.653500,0.230769,12,4.000000,0.066379,0,low_voiced_ratio
data/self/1-2-1/speaker01_bi2_01.wav,1.653500,0.269231,14,4.000000,0.050777,0,low_voiced_ratio
data/self/1-2-1/speaker01_pi2_01.wav,1.653500,0.230769,12,4.000000,0.049361,0,low_voiced_ratio
data/self/1-2-1/speaker01_tou2_01.wav,1.653500,0.250000,13,4.000000,0.057234,0,low_voiced_ratio
data/self/1-2-1/speaker01_you2_01.wav,1.653500,0.346154,18,4.000000,0.068218,0,low_voiced_ratio
data/self/1-2-1/speaker01_zhu2_01.wav,1.653500,0.269231,14,4.000000,0.052298,0,low_voiced_ratio
data/self/1-2-1/speaker01_lan2_01.wav,1.653500,0.288462,15,4.000000,0.040402,0,low_voiced_ratio
data/self/1-2-1/speaker01_qian2_01.wav,1.653500,0.269231,14,4.000000,0.044364,0,low_voiced_ratio
data/self/1-2-2/speaker01_ma2_02.wav,2.372187,0.000000,0,0.000000,0.040643,0,duration_too_long
data/self/1-2-2/speaker01_cha2_02.wav,2.372187,0.000000,0,0.000000,0.043961,0,duration_too_long
data/self/1-2-2/speaker01_yu2_02.wav,2.372187,0.160000,12,4.000000,0.043523,0,duration_too_long
data/self/1-2-2/speaker01_niu2_02.wav,2.372187,0.186667,14,4.000000,0.045852,0,duration_too_long
data/self/1-2-2/speaker01_ren2_02.wav,2.372187,0.173333,13,4.000000,0.035022,0,duration_too_long
data/self/1-2-2/speaker01_men2_02.wav,2.372187,0.186667,14,4.000000,0.032778,0,duration_too_long
data/self/1-2-2/speaker01_tian2_02.wav,2.372187,0.173333,13,4.000000,0.035136,0,duration_too_long
data/self/1-2-2/speaker01_he2_02.wav,2.372187,0.133333,10,4.000000,0.045382,0,duration_too_long
data/self/1-2-2/speaker01_yun2_02.wav,2.372187,0.186667,14,4.000000,0.038017,0,duration_too_long
data/self/1-2-2/speaker01_chuan2_02.wav,2.372187,0.160000,12,4.000000,0.033302,0,duration_too_long
data/self/1-2-2/speaker01_yang2_02.wav,2.372187,0.213333,16,4.000000,0.038229,0,duration_too_long
data/self/1-2-2/speaker01_chong2_02.wav,2.372187,0.173333,13,4.000000,0.031199,0,duration_too_long
